0.046	0.072	-0.192
0.048	0.065	-0.107
0.070	0.060	0.282
0.069	0.092	0.431
0.076	0.075	0.294
0.075	0.090	0.088
0.062	0.088	-0.231
0.059	0.097	-0.351
0.060	0.098	-0.302
0.068	0.117	-0.182
0.059	0.140	-0.080
0.061	0.133	0.050
0.068	0.144	0.130
0.061	0.115	0.392
0.068	0.110	0.270
0.059	0.111	0.055
0.074	0.103	-0.118
0.062	0.109	-0.156
0.064	0.111	-0.277
0.085	0.086	-0.204
0.064	0.105	-0.070
0.077	0.101	0.012
0.069	0.097	0.256
0.068	0.085	0.395
0.051	0.084	0.315
0.039	0.094	0.023
0.067	0.097	-0.146
0.040	0.111	-0.251
0.054	0.120	-0.271
0.069	0.120	-0.177
0.060	0.131	-0.127
0.083	0.104	0.037
0.098	0.090	0.293
0.092	0.093	0.369
0.102	0.099	0.322
0.086	0.101	0.040
0.089	0.076	-0.129
0.089	0.084	-0.226
0.088	0.088	-0.333
0.084	0.084	-0.203
0.091	0.096	-0.138
0.088	0.111	0.037
0.090	0.092	0.320
0.097	0.083	0.393
0.086	0.059	0.306
0.071	0.070	0.060
0.061	0.065	-0.200
0.058	0.089	-0.265
0.043	0.103	-0.231
0.051	0.112	-0.320
0.048	0.115	-0.213
0.074	0.121	-0.024
0.065	0.137	0.229
0.080	0.119	0.440
0.069	0.116	0.268
0.081	0.087	0.064
0.085	0.085	-0.052
0.067	0.110	-0.221
0.066	0.055	-0.203
0.064	0.074	-0.150
0.048	0.093	-0.128
0.049	0.099	-0.043
0.053	0.116	0.287
0.048	0.110	0.400
0.060	0.119	0.416
0.038	0.128	0.105
0.053	0.110	-0.164
0.047	0.117	-0.248
0.037	0.104	-0.315
0.041	0.133	-0.259
0.039	0.154	-0.147
0.043	0.141	0.026
0.043	0.114	0.231
0.050	0.107	0.368
0.049	0.101	0.255
0.063	0.090	0.040
0.079	0.099	-0.106
0.081	0.085	-0.276
0.081	0.075	-0.289
0.090	0.067	-0.274
0.081	0.046	-0.119
0.084	0.051	0.063
0.071	0.042	0.279
0.079	0.049	0.406
0.064	0.060	0.236
0.073	0.056	0.082
0.060	0.069	-0.142
0.042	0.086	-0.263
0.047	0.098	-0.245
0.050	0.093	-0.211
0.040	0.096	-0.078
0.041	0.087	0.094
0.045	0.094	0.264
0.052	0.098	0.365
0.043	0.101	0.291
0.066	0.105	0.032
0.064	0.097	-0.147
0.063	0.104	-0.211
0.062	0.091	-0.213
0.046	0.097	-0.188
0.044	0.083	-0.188
0.055	0.060	0.091
0.050	0.088	0.271
0.052	0.077	0.439
0.062	0.081	0.250
0.072	0.087	0.096
0.072	0.111	-0.195
0.039	0.109	-0.306
0.045	0.106	-0.361
